Id,Prediction
0,3261924
1,2344689
2,3347767
3,2083447
4,5595267
5,3778621
6,4590423
7,2018785
8,4491607
9,1847826
10,3778621
11,9262754
12,3347767
13,7201784
14,2993069
15,3818055
16,3347767
17,5595267
18,3745135
19,4015749
20,3445076
21,7592272
22,2364478
23,9652350
24,3903884
25,2999068
26,1270499
27,3376145
28,4807746
29,2344689
30,3784230
31,7201784
32,4066618
33,3903884
34,7592272
35,3939804
36,2999068
37,3780019
38,2544857
39,3426169
40,4316715
41,5653753
42,2954086
43,4250553
44,5444227
45,4066618
46,1734634
47,5595267
48,3903884
49,5337526
50,2525375
51,4491607
52,2544857
53,2025297
54,3778621
55,4264176
56,7217634
57,4350573
58,3752885
59,3818055
60,2993069
61,1734634
62,4350573
63,4264176
64,3778621
65,1149870
66,2018785
67,4554237
68,4350573
69,3351383
70,4316715
71,5595267
72,2999068
73,4429512
74,3199619
75,3818055
76,4807746
77,4316715
78,4429512
79,5595267
80,3956086
81,2344689
82,5653753
83,3818055
84,2156098
85,1619683
86,4015749
87,2999068
88,5161370
89,3745135
90,4807746
91,3818055
92,1270499
93,5166635
94,2383840
95,3426169
96,5595267
97,1270499
98,4316715
99,3784230
100,4590423
101,2371202
102,3780019
103,1734634
104,2732645
105,4467728
106,6923131
107,1756069
108,3982767
109,6363241
110,4952255
111,4350573
112,2525375
113,6941173
114,4316715
115,2525375
116,3273041
117,4155435
118,2097022
119,4350573
120,4155435
121,4250758
122,2544857
123,7865428
124,3351383
125,4758476
126,2551252
127,3807496
128,2018785
129,5500818
130,1270499
131,5500818
132,3982767
133,6313221
134,4882985
135,4758476
136,3248660
137,2675511
138,3218918
139,2055379
140,4350573
141,1734634
142,3784230
143,4316715
144,5595267
145,4264176
146,2344689
147,2364478
148,3351383
149,5286212
150,1734634
151,1270499
152,2525375
153,9652350
154,2371202
155,3199619
156,3727364
157,3248660
158,2058644
159,3273041
160,2083447
161,3818055
162,3810007
163,3939804
164,3426169
165,3727364
166,3752885
167,9652350
168,4067566
169,3248660
170,4429512
171,2025297
172,3426169
173,4100886
174,2544857
175,6412623
176,3199619
177,7201784
178,4155435
179,2738052
180,4250553
181,9652350
182,6923131
183,2675511
184,3164972
185,3778621
186,2732645
187,3248660
188,3982767
189,3727364
190,3780019
191,7865428
192,6923131
193,3939804
194,2055379
195,3939804
196,2390534
197,4429512
198,7201784
199,2999068
200,4250553
201,2055379
202,9652350
203,3836721
204,8894598
205,8213524
206,3164972
207,3818055
208,5286212
209,3258837
210,2525375
211,4429512
212,4100886
213,3807496
214,4350573
215,2371202
216,6313221
217,4888774
218,6923131
219,4590423
220,6923131
221,2954086
222,5161370
223,3258837
224,2544857
225,3871344
226,6363241
227,3600467
228,2999068
229,3903884
230,2390534
231,9652350
232,3347767
233,7201784
234,9262754
235,3818055
236,4316715
237,3258837
238,8213524
239,6836483
240,3248660
241,3004429
242,2083447
243,4758476
244,4780607
245,4066618
246,3273041
247,7201784
248,4888774
249,4807746
250,1734634
251,5161370
252,3752885
253,2999068
254,4067566
255,4155435
256,2544857
257,2383840
258,3273041
259,3004429
260,2999068
261,2525375
262,3347767
263,2544857
264,2371202
265,16549064
266,4250553
267,9652350
268,4350573
269,3807496
270,3248660
271,2732645
272,3903884
273,2267425
274,4429512
275,5966193
276,16549064
277,4067566
278,6923131
279,4316715
280,3351383
281,2383840
282,4264176
283,2058644
284,7592272
285,1270499
286,4952255
287,4780607
288,2156098
289,3410878
290,5435276
291,3903884
292,4067566
293,4155435
294,4590423
295,3248660
296,2390534
297,2544857
298,3939804
299,5595267
300,4758476
301,4250758
302,4807746
303,6941173
304,4100886
