Id,Prediction
0,3670644
1,4134677.5
2,4115802
3,3994487.75
4,4049452.75
5,4000359.5
6,3983844.75
7,5381359
8,4521483
9,4882216.5
10,4391660.5
11,5429423.5
12,5052784
13,5774098
14,4106258.25
15,4642348
16,5470518
17,3654292.75
18,5317055
19,4431693
20,5023897.5
21,4653498
22,5370594.5
23,5364181.5
24,5082022
25,3852236
26,3123303.25
27,5581296
28,5116462.5
29,5046027
30,5872399.5
31,3252828.75
32,4317849
33,4341575
34,4117744
35,3849473.25
36,3991939.75
37,4742614.5
38,3247825.25
39,3615460.75
40,4363473.5
41,4677263
42,5194807.5
43,4046364.5
44,6093585
45,4034623.75
46,4412643
47,3446182.5
48,4494644
49,4821460
50,4639903.5
51,4769554.5
52,4206680.5
53,3864484.75
54,3101229.5
55,4481209.5
56,5988047.5
57,5027102.5
58,4159517
59,4560963.5
60,3560582.25
61,4582800.5
62,3784439.75
63,3511623
64,4683478
65,4867495
66,5155140.5
67,4732328.5
68,5181658.5
69,4191791
70,3140578
71,4333703.5
72,4257925
73,4082303.75
74,5830657
75,4608284.5
76,5336341.5
77,5167832
78,4709549
79,4243308.5
80,5690562
81,3862016.5
82,4446744
83,3360226.75
84,5435052
85,3247825.25
86,3755441.75
87,5059845
88,5280339
89,4755408.5
90,6065778.5
91,3949473.25
92,4066189.75
93,4967352.5
94,5158678.5
95,4811172
96,4295297
97,4295674.5
98,3532410.5
99,3798994.5
100,4102657
101,2790677
102,4682299.5
103,3969088
104,4776016
105,3427581.25
106,5509447
107,4637741
108,5133763.5
109,4579021.5
110,4018730.75
111,5271322.5
112,4702502
113,5630873.5
114,3986188.5
115,5419675.5
116,4289945.5
117,4412589.5
118,3456461.5
119,4754464.5
120,4837283.5
121,5200951.5
122,3537784
123,4809718
124,3841898.25
125,3263572.5
126,5098725.5
127,3723067.75
128,4920314.5
129,4289545.5
130,3837842
131,4543914.5
132,6408789
133,2845306.25
134,4034577.75
135,3596028.75
136,3879374
137,3950052.75
138,5150287
139,3864017.5
140,5078432.5
141,3448652.75
142,5089088.5
143,4242210.5
144,4009997.5
145,3702916.75
146,4820735
147,4268523
148,3800884.5
149,4004482.5
150,3854480.5
151,4631700
152,4611777
153,5608577.5
154,3537124.75
155,5677945.5
156,4989707
157,4990635.5
158,3564141.25
159,4134677.5
160,4755974.5
161,4109270.5
162,4022490.25
163,5290833
164,6184647.5
165,5066323.5
166,5062140
167,5913124
168,4469524.5
169,5007454
170,4064244.75
171,3697415.25
172,4148332.25
173,4611886.5
174,4661572
175,5234939
176,5677961.5
177,4651262.5
178,3713328.25
179,4636302.5
180,5122944
181,3753955.75
182,5357648
183,4564746.5
184,4219589
185,3892874
186,4130226.75
187,4632334.5
188,6072805
189,4764394
190,4870484
191,5096698
192,6397617.5
193,5190637
194,4815645
195,5404439.5
196,3623623.25
197,4066189.75
198,4577619
199,3934826.25
200,3878886.75
201,4261101
202,5046654
203,5397748
204,5481762
205,4592072
206,4357156
207,3991029.75
208,3963529.75
209,3435725.75
210,5063616
211,4082227.5
212,3914708.5
213,3670644
214,5139799
215,2638097
216,4276621
217,4655724
218,3997422.25
219,3529507
220,4931303.5
221,4402698.5
222,5623096.5
223,3823460.75
224,4602893.5
225,4964925
226,5240816.5
227,6867865.5
228,3482253
229,4666730
230,4532403
231,5609426
232,4728330
233,4730754.5
234,4428402.5
235,4599817.5
236,3679404.5
237,3124134.75
238,4943360
239,5143413
240,3670484.25
241,4166292.25
242,2940256.25
243,3784756.5
244,4948925.5
245,6198949
246,4181176.5
247,4990799
248,4034852.5
249,3995721.75
250,4057098.75
251,4932589
252,5146606
253,4134957.5
254,4437312
255,5488538
256,4689619
257,4423878.5
258,3793041.5
259,4124991.75
260,4266726
261,4937152
262,6459787.5
263,4098130.25
264,3837842
265,5009222
266,3903738
267,5156396.5
268,4686022.5
269,3815901.75
270,3762896.5
271,4993964.5
272,4833941
273,4606372.5
274,3989359.75
275,5576653.5
276,5877652.5
277,5257437.5
278,5142445
279,3861104.75
280,4815103.5
281,5294827
282,3692072.25
283,3611185.25
284,5058608
285,3497796.25
286,4834826.5
287,4232387
288,6357063
289,3250074.75
290,4608842
291,4058466.25
292,4072113.25
293,4635029.5
294,4547669
295,4620168.5
296,5170906
297,5227818.5
298,4643160.5
299,4850418
300,4454925.5
301,5352272
302,4643230.5
303,4973625.5
304,5404878.5
305,4758749.5
306,3410637
307,5260230
308,3334735.25
309,4591880.5
310,5150006.5
311,3616603.5
312,4592342
313,4924706.5
314,4711947.5
315,4495343
316,4361584.5
317,4421152.5
318,5118517.5
319,5474626
320,5742581
321,4446455
322,3753581.75
323,4833007.5
324,4797658.5
325,5637966.5
326,5119048
327,4606027
328,4592345.5
329,4911823
330,5395749
331,4333996.5
332,4324115.5
333,4677293
334,4965663.5
335,4627973
336,2944412.5
337,4812956
338,5377440.5
339,4230135
340,5008043.5
341,3794504.75
342,5102983
343,3955796
344,3997970.5
345,3858521.5
346,5499591.5
347,5503253.5
348,5031179.5
349,5361724.5
350,4051268
351,4454580
352,5776348.5
353,5006336
354,3213410.75
355,5015307
356,4914466
357,5535391.5
358,3981972.75
359,5020453.5
360,4289545.5
361,3563055.5
362,4557419.5
363,4805028.5
364,6010009
365,5932803
366,4547669
367,4532985
368,3872509
369,3975367
370,3833750.75
371,4927452
372,4036055.75
373,4661820
374,4490107
375,5082869
376,4393088
377,5044030.5
378,3765524.25
379,4702289.5
380,4481380
381,3740465.25
382,3783993.5
383,4155850.25
384,4466528
385,5393438.5
386,5101905
387,4950295
388,4873861
389,5159882.5
390,4815103.5
391,4556559
392,4255541.5
393,4989099.5
394,4746137.5
395,4008775
396,5038780.5
397,4762176.5
398,5042936
399,5418601
400,3824654.75
401,3511084.25
402,4299825.5
403,3978538
404,3845608.25
405,4670149
406,4464596.5
407,4397872.5
408,3664526.25
409,3664526.25
410,4000790
411,4932374.5
412,4476544
413,4924375
414,4976604.5
415,5044153.5
416,4557866.5
417,2811412.75
418,4013709.5
419,5643169
420,4926770.5
421,4920236.5
422,4477868.5
423,4160800.5
424,4409857.5
425,5113339
426,3598487.75
427,3898017.25
428,4203675.5
429,3797057
430,4606259
431,4279541
432,3775925.25
433,5748325.5
434,4166440.5
435,4961275.5
436,4625062
437,2618067.25
438,4865330.5
439,5634323.5
440,4691014
441,5382618.5
442,4776016
443,5439475
444,4022610
445,4464604
446,4908188.5
447,4534019
448,4465905
449,5576387
450,4536203
451,4385035.5
452,4297167
453,4841419
454,3948861.5
455,3895310
456,3982544
457,4508015
458,3657322.25
459,3247825.25
460,4133105.25
461,5224672
462,5602362
463,4688051
464,4251446.5
465,4124811.25
466,3886602
467,3349545.25
468,4650579.5
469,4752762.5
470,4366154.5
471,4406926
472,4302847.5
473,4799293.5
474,4672896
475,4087406.25
476,3283145.75
477,4239418.5
478,3934826.25
479,4683635
480,5156082.5
481,5700068
482,3820524.75
483,3576854
484,5105705
485,5371829.5
486,5419455.5
487,4655380.5
488,5178089.5
489,3626849.25
490,4178571.75
491,3162249.5
492,4901507
493,4991332
494,4493745.5
495,4336521.5
496,5064388
497,5733801.5
498,3557915.75
499,4731263.5
500,4056481.25
501,2900236.25
502,3537784
503,4241065.5
504,5613121
505,3970337.5
506,5365976.5
507,4235317.5
508,4484447
509,4067595.75
510,5795719.5
511,4932374.5
512,3892874
513,4431959
514,3737686.5
515,3263116
516,3585451
517,4289072
518,4156252.5
519,4130299
520,4199963
521,5401603
522,4747286
523,4948117.5
524,4704059.5
525,5052093
526,3630581.75
527,4142710.25
528,5000769
529,4507434.5
530,4226329.5
531,6437039
532,3940008
533,3846289.5
534,5338747.5
535,4669567
536,2989146.75
537,4918359.5
538,3892874
539,5150859.5
540,3369425.75
541,4351774.5
542,4782629
543,3896179
544,4331820.5
545,3897150.25
546,3826363.5
547,5516448.5
548,4073501.25
549,4089677
550,3687063
551,3784190.25
552,5163185
553,4914287
554,4127382.75
555,4472326.5
556,3247825.25
557,5492484
558,4394870
559,4778426
560,4581001
561,6408789
562,4026480.5
563,5061016.5
564,4302046
565,5217413.5
566,3641050.75
567,5998382.5
568,3920890.5
569,4671213
570,5134781.5
571,4901941
572,4984179
573,4252408
574,4309174.5
575,3166327.5
576,5431252
577,4611381.5
578,4043767.5
579,5156082.5
580,4689314.5
581,4797242
582,4825350
583,4636347
584,4819102
585,4274083
586,2946662.5
587,3762948.25
588,4804182.5
589,5056107
590,4866083
591,3837382.25
592,4844379.5
593,3867783.75
594,3857942
595,4045394.5
596,4755408.5
597,5431858.5
598,3987311.75
599,4923537.5
600,4771183
601,4849668
602,4021797.5
603,3969214.25
604,4524194
605,4278066.5
606,2728040.25
607,4524194
608,4587049.5
609,4865116
610,5372165.5
611,3520878
612,4630342.5
613,5824431
614,4876514.5
615,4131946.5
616,5105991.5
617,5704173
618,6353306
619,4129669.5
620,3554258.25
621,5857947
622,4252300
623,4786466.5
624,5423846.5
625,5073253
626,4935913.5
627,5357695.5
628,3786373.5
629,4631155.5
630,6035380.5
631,5481944.5
632,4961528.5
633,5304530.5
634,3004469.75
635,4634690
636,4651879
637,4140756
638,4581847
639,5470518
640,3787399.75
641,5125879
642,3765021.5
643,4792996.5
644,4918592.5
645,2975301.25
646,6098031
647,3641050.75
648,4502222.5
649,3668140.75
650,3256503.75
651,4524588.5
652,5164335
653,4887693.5
654,5351509.5
655,4754117
656,3981789
657,5307052
658,6597577.5
659,3781766.75
660,4925597
661,5275799.5
662,5256212
663,3916200.5
664,4140756
665,4043474.25
666,4529588
667,3487525.25
668,4076063.75
669,3941801
670,5558801
671,5658628
672,4886512.5
673,4667172
674,4740115
675,4934253
676,6284535.5
677,4051365.75
678,4392304
679,4718534.5
680,3586558.5
681,4885284.5
682,4133577
683,4406177
684,4300336.5
685,5039254
686,4688845
687,3031453
688,5615750
689,4680537.5
690,4069923.5
691,3785083
692,4517142
693,4823899
694,5230380.5
695,4153038.5
696,4124584.75
697,4154855.25
698,4461722
699,3820866.5
700,6356237
701,3620442.25
702,4085333.5
703,4180288.75
704,4756892
705,4680685.5
706,6335223
707,4341840.5
708,5603468
709,4735926.5
710,5361948.5
711,5269209
712,4135558.75
713,4735926.5
714,4335075
715,3768513
716,4187664.75
717,5277051
718,3979051
719,5381489
720,4348417
721,5390690.5
722,4553373
723,4274818
724,3915110
725,4845315.5
726,3759857.75
727,4114439.75
728,4043799
729,4808076.5
730,4031056
731,3711215.5
732,4534932.5
733,5472476.5
734,4357571
735,5042166
736,5317544
737,3982796
738,5414911.5
739,3683815
740,5293981.5
741,4447649.5
742,4685178
743,5787337.5
744,4352957
745,5190848.5
746,4858802.5
747,5774098
748,4828979.5
749,3515719.5
750,4908188.5
751,4101032.75
752,4482815.5
753,3721432.75
754,3641050.75
755,3014794.5
756,4031056
757,4510369
758,5420354
759,6175145
760,5059652
761,4281334
762,4331438
763,3719040
764,5505293.5
765,5755431
766,4627691.5
767,4627026.5
768,3632117.5
769,4625500
770,4557552
771,3391061.75
772,5634590
773,4150611.75
774,4035593.5
775,4410593.5
776,3638374.5
777,5115663.5
778,3082124.5
779,3397536.25
780,5126079
781,5430811
782,5352700
783,5011462
784,4651991.5
785,4309793.5
786,5505282
787,4131302.25
788,4405345.5
789,4401943.5
790,4267387
791,4935913.5
792,3158623.75
793,3774729
794,3101229.5
795,5932803
796,4941268.5
797,3595884.5
798,4370788.5
799,5119269.5
800,5298271
801,5332456.5
802,4902770
803,4005762.75
804,3605317.5
805,3566179.75
806,4459182.5
807,3851297.5
808,4358623.5
809,3211162.75
810,3959072
811,4364080.5
812,4819483.5
813,4784281.5
814,4019327.25
815,5005336.5
816,4617325
817,4248735
818,3883183.5
819,3554047.75
820,4883282.5
821,3912647.75
822,5052212.5
823,3693379
824,3991796.5
825,4474251.5
826,4900232.5
827,3495707.25
828,5200177.5
829,3372028.25
830,5013897
831,4825485
832,4628047.5
833,4743109.5
834,4990751.5
835,3999861.75
836,2646362
837,4173368.75
838,4512038
839,2952677.5
840,3678569.75
841,3339160.5
842,4555170.5
843,5014413.5
844,4443965
845,4409977
846,5710830
847,3995230.75
848,4226329.5
849,4823495.5
850,4903792.5
851,5100853
852,5783167
853,3912764.5
854,4395180.5
855,4020640.75
856,4527954.5
857,3994369
858,3846074
859,3631496.25
860,4248727
861,5564023.5
862,5051751
863,3848292.25
864,4721828.5
865,4727454.5
866,3283145.75
867,4349581
868,4631956.5
869,4285745.5
870,3850596.5
871,5207250.5
872,4110178
873,4342937.5
874,4629785
875,4848181.5
876,3994638.5
877,4932374.5
878,3533532.25
879,4638718
880,3581283
881,2706129.75
882,5012354.5
883,5544626.5
884,4251572.5
885,5028886.5
886,4240382.5
887,5313187
888,4747515.5
889,4344727
890,4675640
891,4984519.5
892,4574287
893,4406760
894,4846641
895,3783174.25
896,4177024.75
897,3677719.25
898,3797578.75
899,6449439
900,4416674.5
901,5576919.5
902,4345332
903,4586013.5
904,4004410.5
905,4609203
906,3797242.25
907,3834904
908,5441485.5
909,4606259
910,4320921
911,5031973
912,4796439
913,4627572.5
914,4327697.5
915,5514024
916,3117728.25
917,5550250
918,4713225
919,4096979.25
920,4567436.5
921,4411424.5
922,3999769.25
923,4144574.75
924,5300099.5
925,5651087
926,6051131.5
927,5536388
928,4944893.5
929,5115747
930,3820880
931,4478691.5
932,4883675
933,5626274
934,3106098.75
935,4401508.5
936,3864378.25
937,3559717
938,4358765
939,5398515.5
940,4586033
941,5121469.5
942,4406625.5
943,4917145
944,4697042.5
945,3521681.75
946,5467737.5
947,4258342
